latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
7.16434,10.47572,357.3,0.34,0.56,2026-01-29,1318,N,VIIRS,l,2.0NRT,285.04,7.58,D
7.1704,10.48121,341.9,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,284.14,5.91,D
7.14058,10.26562,332.88,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,302.03,2.84,D
6.87215,8.35372,340.96,0.49,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.39,5.17,D
6.87153,8.34935,343.12,0.49,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,305.11,3.79,D
6.79293,7.79866,330.61,0.45,0.47,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.06,2.13,D
6.78364,7.73386,331.15,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.89,2.68,D
6.70345,7.1764,338.98,0.41,0.45,2026-01-29,1318,N,VIIRS,n,2.0NRT,284.21,6.43,D
6.65377,6.83298,330.25,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.41,2.29,D
6.34211,4.70867,337.68,0.44,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.98,4.51,D
7.16997,10.4781,357.34,0.34,0.56,2026-01-29,1318,N,VIIRS,l,2.0NRT,286.82,5.91,D
7.24465,10.98116,367,0.37,0.58,2026-01-29,1318,N,VIIRS,h,2.0NRT,292.66,15.65,D
7.2443,10.97862,367,0.37,0.58,2026-01-29,1318,N,VIIRS,h,2.0NRT,291.33,11.92,D
6.87916,8.37091,334.23,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,307.98,2.5,D
6.87663,8.3531,334.48,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,306.14,2.81,D
6.66852,6.90629,344.09,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.8,4.89,D
7.13527,10.15262,367,0.32,0.55,2026-01-29,1318,N,VIIRS,h,2.0NRT,309.47,13.71,D
7.13736,10.16759,333.82,0.33,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,307.51,1.87,D
7.13487,10.14975,355.18,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.81,8.35,D
6.88173,8.35691,336.34,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,307.84,2.81,D
6.88047,8.34811,335.12,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,305.47,3.98,D
6.86423,8.23454,342.69,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,292.27,3.92,D
6.68849,6.98681,332.53,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.22,7.81,D
6.37313,4.844,334.19,0.45,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.27,5.79,D
6.37252,4.83995,332.61,0.45,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.68,5.79,D
7.16027,10.25706,367,0.33,0.55,2026-01-29,1318,N,VIIRS,h,2.0NRT,307.61,4.74,D
7.1947,10.50342,344.2,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,280.33,4.49,D
7.14041,10.11536,334.38,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,301.53,1.04,D
6.80015,7.7273,334.72,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.09,2.72,D
6.79612,7.69946,346.16,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.92,4.78,D
6.79555,7.69552,331.33,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.89,4.78,D
6.70988,7.10519,331.52,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,274.91,3.94,D
7.2902,11.15109,331.22,0.38,0.59,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.65,2.25,D
6.88444,8.28067,338.69,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,300.37,3.96,D
6.80039,7.69882,343.93,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.55,4.9,D
6.79981,7.69488,338.27,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.09,4.9,D
7.30113,11.18975,332.57,0.38,0.59,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.73,2.87,D
6.88889,8.28007,331.94,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.48,3.96,D
7.15655,10.11987,338.79,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.26,3.13,D
7.15613,10.11687,332.97,0.32,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.54,2.68,D
7.10722,9.77168,331.66,0.61,0.54,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.51,5.3,D
7.10642,9.76601,331.71,0.61,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.72,5.3,D
6.94267,8.62122,341.38,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,308.43,5.1,D
6.94135,8.61203,342.07,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,307.29,6.01,D
7.11059,9.75991,335.4,0.61,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,291.51,8.37,D
6.90541,8.33139,334.48,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,304.78,2.75,D
6.54519,5.85004,334.33,0.51,0.41,2026-01-29,1318,N,VIIRS,n,2.0NRT,287.63,4.39,D
6.9054,8.26875,331.25,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.83,5.02,D
6.90477,8.26445,352.15,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.52,9.12,D
6.54483,5.84691,333.91,0.51,0.41,2026-01-29,1318,N,VIIRS,n,2.0NRT,287.35,3.52,D
6.92322,8.50803,330.09,0.5,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,304.9,1.36,D
6.94344,8.62254,337.96,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,307.59,4.14,D
6.94219,8.61332,346.16,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.85,5.88,D
6.90325,8.32819,342.07,0.49,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,305.37,2.18,D
6.6282,6.35207,333.02,0.54,0.42,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.32,2.98,D
7.15484,10.11798,330.36,0.32,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.07,1.43,D
7.10815,9.76914,336.14,0.61,0.54,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.24,7.89,D
7.10739,9.76346,338.96,0.61,0.54,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.55,4.53,D
7.10665,9.75791,331.97,0.61,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.11,4.53,D
6.90373,8.26548,337.57,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.95,4.07,D
6.90313,8.26115,342.39,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.56,4.07,D
7.15991,10.11724,332.58,0.32,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.29,2.82,D
6.91203,8.25994,331.48,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.91,3.97,D
6.95414,8.5316,353.17,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.92,9.81,D
7.24924,10.66707,338.06,0.35,0.57,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.29,4.45,D
6.95866,8.53086,356.52,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.75,9.81,D
6.95872,8.49804,335.46,0.5,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,307.43,6.97,D
